sheet,row,field,original,normalized,reason
TER SCHED 2T2526,209,room,KIT,KITCHEN,explicit workbook typo/abbreviation alias
TER SCHED 2T2526,363,room,PEAA2,PEA2,explicit workbook typo/abbreviation alias
